Id,Municipality,Place,Latitude,Longitude
112,Hässleholm,Gammalstorps mölla,56.2572222222222,13.78
113,Hässleholm,Gumlösa,56.1738888888889,13.9716666666667
114,Hässleholm,Häglinge,55.9894444444444,13.7052777777778
115,Hässleholm,Hässleholm,56.1594444444444,13.7783333333333
116,Hässleholm,Hästveda,56.2861111111111,13.9355555555556
117,Hässleholm,Hörja,56.2052777777778,13.5911111111111
118,Hässleholm,Ignaberga,56.1247222222222,13.8291666666667
119,Hässleholm,Laxbro,56.1927777777778,13.8983333333333
120,Hässleholm,Lillaskog,56.0891666666667,13.8666666666667
121,Hässleholm,Lommarp,56.0991666666667,13.8708333333333
122,Hässleholm,Lunnahöja,56.0688888888889,13.7325
123,Hässleholm,Mala,56.2413888888889,13.7108333333333
124,Hässleholm,Matteröd,56.1130555555556,13.6266666666667
125,Hässleholm,Mellby,56.0491666666667,13.7180555555556
126,Hässleholm,Norra Sandby,56.2,13.9233333333333
127,Hässleholm,Nävlinge,56.0530555555556,13.8363888888889
128,Hässleholm,Porrarp,56.3138888888889,13.6363888888889
129,Hässleholm,Röinge,56.147,13.807
130,Hässleholm,Röke,56.2419444444444,13.5275
131,Hässleholm,Sjörröd,56.14,13.7308333333333
132,Hässleholm,Skyrup,56.1294444444444,13.6675
133,Hässleholm,Smålanden,56.1313888888889,13.9530555555556
134,Hässleholm,Stoby,56.1777777777778,13.8283333333333
135,Hässleholm,Sörby,56.1341666666667,13.9658333333333
136,Hässleholm,Sösdala,56.0405555555556,13.6786111111111
137,Hässleholm,Sösdala Himmelkull,56.0280555555556,13.6838888888889
138,Hässleholm,Tormestorp,56.1136111111111,13.7452777777778
139,Hässleholm,Troedstorp,56.1441666666667,13.8283333333333
140,Hässleholm,Tyringe,56.1588888888889,13.6030555555556
141,Hässleholm,Vankiva,56.2,13.7427777777778
142,Hässleholm,Verum,56.3622222222222,13.7980555555556
143,Hässleholm,Vinslöv,56.0986111111111,13.9066666666667
144,Hässleholm,Vittsjö,56.3347222222222,13.66
145,Hässleholm,Västra Torup,56.1430555555556,13.5105555555556
146,Hässleholm,Åmanäs och Nilstorp,56.1261111111111,13.7388888888889
147,Hässleholm,Åraslöv,56.1063888888889,13.9791666666667
148,Hässleholm,Öraholma,56.1777777777778,13.6441666666667
149,Helsingborg,Allerum,56.1088888888889,12.6913888888889
150,Helsingborg,Björkebogård,56.0547222222222,12.8233333333333
151,Helsingborg,Bårslöv,56.0102777777778,12.8025
152,Helsingborg,Domsten,56.1155555555556,12.6119444444444
153,Helsingborg,Fjärestad,55.9852777777778,12.8494444444444
154,Helsingborg,Fleninge,56.1088888888889,12.7911111111111
155,Helsingborg,Fortuna,55.9580555555556,12.7580555555556
156,Helsingborg,Frillestad,56.0172222222222,12.8405555555556
157,Helsingborg,Gantofta,55.9888888888889,12.8016666666667
158,Helsingborg,Grå läge,56.1286111111111,12.5955555555556
159,Helsingborg,Görarp,56.0144444444444,12.7880555555556
160,Helsingborg,Hasslarp,56.1352777777778,12.8138888888889
161,Helsingborg,Helsingborg,56.0425,12.7211111111111
162,Helsingborg,Hittarp,56.0938888888889,12.6530555555556
163,Helsingborg,Hjortshög,56.0694444444444,12.8011111111111
164,Helsingborg,Hässlunda,56.0294444444444,12.8958333333333
165,Helsingborg,Katslösa,55.9755555555556,12.7908333333333
166,Helsingborg,Kattarp,56.1416666666667,12.7833333333333
167,Helsingborg,Kropp,56.0859722222222,12.7975
168,Helsingborg,Kvistofta,55.9688888888889,12.8280555555556
169,Helsingborg,Kvistofta ,55.9572222222222,12.8338888888889
170,Helsingborg,Magnihill-Lydestad,56.0680555555556,12.8491666666667
171,Helsingborg,Mörarp,56.0575,12.8775
172,Helsingborg,Norra Vallåkra,55.9666666666667,12.8666666666667
173,Helsingborg,Påarp,56.0338888888889,12.8208333333333
174,Helsingborg,Rya,55.9783333333333,12.7647222222222
175,Helsingborg,Rydebäck,55.9652777777778,12.7719444444444
176,Helsingborg,Skoggömmaregården,56.12,12.7566666666667
177,Helsingborg,Tånga och Rögle,56.1908333333333,12.7697222222222
178,Helsingborg,Utvälinge,56.2163888888889,12.7813888888889
179,Helsingborg,Vallåkra,55.9625,12.8525
180,Helsingborg,Viken,56.1511111111111,12.5786111111111
181,Helsingborg,Väla by,56.0833333333333,12.7488888888889
182,Helsingborg,Välinge,56.1825,12.8091666666667
183,Helsingborg,Välluv,56.0197222222222,12.7983333333333
184,Helsingborg,Ödåkra,56.1016666666667,12.7527777777778
185,Helsingborg,Östra Ramlösa,56.0308333333333,12.77
186,Höganäs,Arild,56.2597222222222,12.6080555555556
187,Höganäs,Brunnby kyrkby,56.2608333333333,12.5744444444444
188,Höganäs,Farhult,56.2219444444444,12.7180555555556
189,Höganäs,Höganäs,56.1961111111111,12.5769444444444
190,Höganäs,Ingelsträde,56.1861111111111,12.6333333333333
191,Höganäs,Jonstorp,56.2338888888889,12.6719444444444
192,Höganäs,Lerberget,56.1766666666667,12.565
193,Höganäs,Lerhamn,56.2569444444444,12.5222222222222
194,Höganäs,Mjöhult,56.1758333333333,12.6816666666667
195,Höganäs,Mölle,56.2841666666667,12.4972222222222
196,Höganäs,Nabben,56.2663888888889,12.5930555555556
197,Höganäs,Norra Häljaröd,56.2219444444444,12.7566666666667
198,Höganäs,Nyhamnsläge,56.2422222222222,12.5391666666667
199,Höganäs,Skäret,56.2630555555556,12.6127777777778
200,Höganäs,Stora Görslöv,56.2119444444444,12.6561111111111
201,Höganäs,Strandbaden,56.2194444444444,12.5430555555556
202,Höganäs,Svanshall,56.2508333333333,12.6622222222222
203,Höganäs,Södåkra,56.2444444444444,12.6441666666667
204,Höganäs,Viken,56.1511111111111,12.5786111111111
205,Höganäs,Väsby,56.2075,12.5922222222222
206,Höör,Björnahall,55.9377777777778,13.4994444444444
207,Höör,Bokehall,55.942988,13.594728
208,Höör,Bokeslund,55.9413888888889,13.5827777777778
209,Höör,Ekeborg,55.865,13.4894444444444
210,Höör,Fogdarp,55.8283333333333,13.5347222222222
211,Höör,Frostavallen,55.9680555555556,13.5180555555556
212,Höör,Gamla Bo,55.8719444444444,13.4913888888889
213,Höör,Gudmuntorp,55.8155555555556,13.4797222222222
214,Höör,Hallaröd,55.9772222222222,13.4477777777778
215,Höör,Hjällaröd,56.045,13.5566666666667
216,Höör,Hänninge,55.9388888888889,13.4688888888889
217,Höör,Hörby Ringsjöstrand,55.8433333333333,13.5522222222222
218,Höör,Höör,55.9097222222222,13.5472222222222
219,Höör,Ljungstorp och Jägersbo,55.9166666666667,13.5666666666667
220,Höör,Ludvigsborg,55.9,13.6
221,Höör,Löberöd,55.7763888888889,13.5183333333333
222,Höör,Munkarp,55.9472222222222,13.4497222222222
223,Höör,Norra Rörum,56.0205555555556,13.5102777777778
224,Höör,Ormanäs stugby,55.9163888888889,13.4655555555556
225,Höör,Osby,55.8419444444444,13.5672222222222
226,Höör,Rolsberga,55.8075,13.4744444444444
227,Höör,Röinge,55.9108333333333,13.5930555555556
228,Höör,Sjunnerup,55.9669444444444,13.5627777777778
229,Höör,Sjöholmen,55.9111111111111,13.4375
230,Höör,Snogehall,55.9505555555556,13.5347222222222
231,Höör,Snogeröd,55.8330555555556,13.4908333333333
232,Höör,Sätofta,55.9166666666667,13.55
233,Höör,Södra Hultarp,55.9838,13.4025
234,Höör,Tjuvaröd,55.9241666666667,13.5188888888889
235,Höör,Tjörnarp,55.9888888888889,13.6297222222222
236,Höör,Vägasked,56.0219444444444,13.4711111111111
237,Höör,Ängsbyn,55.8858333333333,13.53
238,Hörby,Askeröd,55.7588888888889,13.5947222222222
239,Hörby,Bondemölla,55.9119444444444,13.6130555555556
240,Hörby,Bus,55.8091666666667,13.8733333333333
241,Hörby,Dala,55.7705555555556,13.615
242,Hörby,Ekeboda,55.8533333333333,13.6880555555556
243,Hörby,Fulltofta,55.8777777777778,13.6225
244,Hörby,Galgabacken,55.8630555555556,13.6891666666667
245,Hörby,Hörby,55.8508333333333,13.6636111111111
246,Hörby,Hörby Ringsjöstrand,55.8433333333333,13.5522222222222
247,Hörby,Höör,55.9097222222222,13.5472222222222
248,Hörby,Kilhult och Svensköp,55.8741666666667,13.8633333333333
249,Hörby,Korsholm,55.7922222222222,13.6766666666667
250,Hörby,Ludvigsborg,55.9,13.6
251,Hörby,Lyby,55.8363888888889,13.6227777777778
252,Hörby,Långaröd,55.7877777777778,13.8380555555556
253,Hörby,Osby,55.8419444444444,13.5672222222222
254,Hörby,Osbyholm,55.8488888888889,13.6105555555556
255,Hörby,Röinge,55.9108333333333,13.5930555555556
256,Hörby,Satserup,55.8933333333333,13.7630555555556
257,Hörby,Slagtofta,55.8683333333333,13.6861111111111
258,Hörby,Söderto,55.8108333333333,13.5875
259,Hörby,Södra Rörum,55.9238888888889,13.6694444444444
260,Hörby,Trulshärad,55.76,13.9169444444444
261,Hörby,Tågarp,55.8406,13.74467
262,Hörby,Viggarum,55.8027777777778,13.8894444444444
263,Hörby,Västantorp,55.9261111111111,13.7080555555556
264,Hörby,Västerstad,55.7841666666667,13.6769444444444
265,Hörby,Västerstads kyrkby,55.7705555555556,13.6155555555556
266,Hörby,Äspinge,55.8669444444444,13.7347222222222
267,Hörby,Önneköp,55.7866666666667,13.8713888888889
268,Hörby,Östra Sallerup,55.8002777777778,13.7322222222222
269,Hörby,Östraby,55.7597222222222,13.6825
270,Kävlinge,Barsebäck,55.7719444444444,12.9566666666667
271,Kävlinge,Barsebäckshamn,55.7572222222222,12.9077777777778
272,Kävlinge,Dösjebro,55.82,13.0272222222222
273,Kävlinge,Furulund,55.7733333333333,13.0905555555556
274,Kävlinge,Hofterup,55.8047222222222,12.9797222222222
275,Kävlinge,Hög,55.7658333333333,13.0508333333333
276,Kävlinge,Järavallen ,55.7922222222222,12.95
277,Kävlinge,Kävlinge,55.7969444444444,13.1138888888889
278,Kävlinge,Lilla Harrie,55.7913888888889,13.2047222222222
279,Kävlinge,Löddeköpinge,55.7594444444444,13.0072222222222
280,Kävlinge,Sandskogen,55.7608333333333,12.9816666666667
281,Kävlinge,Saxtorpsskogen,55.8286111111111,12.9461111111111
282,Kävlinge,Stora Harrie,55.8052777777778,13.1536111111111
283,Kävlinge,Stävie,55.7616666666667,13.0713888888889
284,Kävlinge,Särslöv,55.8211111111111,13.0891666666667
285,Kävlinge,Södervidinge,55.8219444444444,13.0958333333333
286,Kävlinge,Södervidinge station,55.8222222222222,13.1069444444444
287,Kävlinge,Vikhög,55.7297222222222,12.9561111111111
288,Kävlinge,Virke,55.8286111111111,13.1872222222222
289,Kävlinge,Västra Karaby,55.8111111111111,13.0544444444444
290,Kävlinge,Ålstorp,55.8127777777778,12.9766666666667
291,Klippan,Allarp,56.04,13.2625
292,Klippan,Bonnarp,56.0752777777778,13.1894444444444
293,Klippan,Forsby,56.1133333333333,13.1533333333333
294,Klippan,Färingtofta,56.0455555555556,13.3772222222222
295,Klippan,Gråmanstorp,56.1483333333333,13.1033333333333
296,Klippan,Gyllsjö,56.1791666666667,13.2
297,Klippan,Hyllstofta,56.1330555555556,13.2922222222222
298,Klippan,Klippan,56.1347222222222,13.1475
299,Klippan,Klippans bruk,56.1202777777778,13.1466666666667
300,Klippan,Krika,56.0947222222222,13.1408333333333
301,Klippan,Källna,56.2086111111111,13.0388888888889
302,Klippan,Ljungbyhed,56.0744444444444,13.24
303,Klippan,Lyckeområdet,56.1436111111111,13.2825
304,Klippan,Nybygget,56.1188888888889,13.1747222222222
305,Klippan,Riseberga,56.0725,13.3044444444444
306,Klippan,Skäralid ,56.0291666666667,13.2877777777778
307,Klippan,Stidsvig,56.2,13.1333333333333
308,Klippan,Tornsborg,56.0394444444444,13.3933333333333
